PARCELID,zonecode
M240290006800,CB
M240290007000,CB
M240050000601,UR
M240050000701,UR
M240050002900,UR
M240050002700,UR
M240050000700,UR
M240050000600,UR
M240320000907,I
M240320000901,I
M240320000900,I
M240320000901,I
M240320000900,I
M240320000906,I
M240320000900,I
M240330001200,RC
M240330001100,RC
M240330001300,RC
M240330001500,RC
M240330001400,RC
M240330001600,RC
M240320000903,I
M240330001000,RC
M240330001001,RC
M240330000900,RC
M240330000700,RC
M240330000500,RC
M240330000601,RC
M240330012500,RC
M240330012600,RC
M240330000100,RC
M240330000600,RC
M240330000400,RC
M240330013000,RC
M240330013100,RC
M240320001202,I
M240320001200,I
M240320003000,SR
M240320002200,SR
M240320002100,SR
M240320002900,SR
M240320002000,SR
M240320001201,I
M240320001200,I
M240330010100,SR
M240330010400,SR
M240330010200,SR
M240330010300,SR
M240330004300,SR
M240330004400,SR
M240330004500,SR
M240330004009,SR
M240330004010,SR
M240330004412,SR
M240330004411,SR
M240330004005,SR
M240330004200,SR
M240330004100,SR
M240330004101,SR
M240330004004,SR
M240330005100,SR
M240310032100,SR
M240310021900,SR
M240310021800,SR
M240310032200,SR
M240330010500,SR
M240330010600,SR
M240330010700,SR
M240330005000,SR
M240330004800,SR
M240330004900,SR
M240330004700,SR
M240330004600,SR
M240330004008,SR
M240330004007,SR
M240330004006,SR
M240300000100,SR
M240310032100,SR
M240300000100,SR
M240330005500,SR
M240330009801,SR
M240330009800,SR
M240330009900,SR
M240330010000,SR
M240330005300,SR
M240070100600,SR
M240070100500,SR
M240070100400,SR
M240120002000,DE
M240330003402,SR
M240330003401,SR
M240330010902,SR
M240330003800,SR
M240330003601,SR
M240330003900,SR
M240330003600,RC
M240330003500,RC
M240330003400,RC
M240330004003,SR
M240330004002,SR
M240330004001,SR
M240230029701,UR
M240330006100,SR
M240330007300,SR
M240330007100,SR
M240330007800,SR
M240330007700,SR
M240330007801,SR
M240310001600,SR
M240310008200,SR
M240330009700,SR
M240330005600,SR
M240330009500,SR
M240330009600,SR
M240310008300,SR
M240310008400,SR
M240310008500,SR
M240310016600,SR
M240310016500,SR
M240310016400,SR
M240280004700,UR
M240180001301,UR
M240330007400,SR
M240330008000,SR
M240330007900,SR
J180040002000,SR
M240300019201,UR
M240270002003,SR
M240270002003,SR
M240270006501,I
M240270007900,SR
M240280014600,SR
M240270006900,SR
M240270006700,SR
M240320000700,SU
M240270006400,SU
M240270006500,I
M240270005500,UR
M240270005400,UR
M240270005300,UR
M240270005200,UR
M240270005100,UR
M240270005000,UR
M240270004900,UR
M240270004800,UR
M240270004700,UR
M240270004600,UR
M240270003600,UR
M240270003700,UR
