precinct,precinctLeader,giellis,heffernan,simpson,scott,calderon,giavanni,hancock,fiorino,tate,evans
802,Michael B. Hancock,0.1435,0.013,,,0.3065,,0.4152,,0.113,0.0087
803,Michael B. Hancock,0.0862,0.0201,,,0.2328,,0.5402,,0.1149,0.0057
804,Michael B. Hancock,0.1256,0.0246,,,0.3177,,0.3966,,0.1207,0.0148
805,Michael B. Hancock,0.1433,0.0287,,,0.2751,,0.4241,,0.1261,0.0029
806,Michael B. Hancock,0.1509,0.0472,,,0.2052,,0.4269,,0.1604,0.0094
807,Michael B. Hancock,0.0752,0.0331,,,0.2135,0.0015,0.5444,,0.1143,0.018
808,Michael B. Hancock,0.0762,0.0166,,,0.2103,,0.5447,,0.144,0.0083
809,Michael B. Hancock,0.244,0.0271,,,0.1536,,0.4337,,0.1355,0.006
810,Michael B. Hancock,0.1851,0.0309,,,0.2104,,0.4446,,0.1262,0.0028
811,Michael B. Hancock,0.1667,0.0386,,,0.3049,,0.374,,0.1118,0.0041
812,Michael B. Hancock,0.1793,0.0351,,,0.2218,,0.39,,0.1627,0.0111
813,Michael B. Hancock,0.1587,0.037,,,0.3109,,0.3348,,0.1587,0
814,Michael B. Hancock,0.1753,0.0173,,,0.2944,,0.4069,,0.0974,0.0087
815,Michael B. Hancock,0.1618,0.0332,,,0.3091,,0.3382,,0.1535,0.0041
816,Michael B. Hancock,0.1692,0.022,,,0.2571,,0.4066,,0.1429,0.0022
817,Michael B. Hancock,0.157,0.0475,,,0.2645,,0.3905,,0.1322,0.0083
818,Michael B. Hancock,0.1106,0.0176,,,0.2211,,0.4623,,0.1834,0.005
819,Michael B. Hancock,0.1064,0.031,,,0.2062,,0.5011,,0.1463,0.0089
820,Michael B. Hancock,0.125,0.0171,,,0.1644,,0.4692,,0.2106,0.0137
821,Michael B. Hancock,0.152,0.028,,,0.166,,0.468,,0.174,0.012
822,Michael B. Hancock,0.1124,0.0237,,,0.1893,,0.4753,,0.1972,0.002
823,Penfield Tate,0.1662,0.0088,,,0.1647,,0.2838,,0.3765,0
824,Michael B. Hancock,0.1865,0.0122,,,0.237,,0.3073,,0.2508,0.0061
825,Michael B. Hancock,0.1554,0.0146,,,0.2431,,0.3565,,0.223,0.0073
826,Michael B. Hancock,0.1984,0.0292,,,0.2335,,0.4027,,0.1226,0.0136
827,Michael B. Hancock,0.1672,0.0289,,,0.2705,,0.3526,,0.1778,0.003
828,Michael B. Hancock,0.1709,0.0431,,,0.2853,,0.3432,,0.1545,0.003
829,Michael B. Hancock,0.2378,0.0302,,,0.2194,,0.3325,,0.1761,0.0039
830,Lisa Calderón,0.2074,0.0142,,,0.3121,,0.2837,,0.1755,0.0071
831,Penfield Tate,0.2195,0.0075,,,0.1459,,0.2511,,0.3729,0.003
832,Penfield Tate,0.2175,0.0015,,,0.1631,,0.284,,0.3338,0
833,Michael B. Hancock,0.2578,0.0238,,,0.1818,,0.2787,,0.2563,0.0015
834,Penfield Tate,0.2413,0.0127,,,0.1794,,0.281,,0.2857,0
835,Michael B. Hancock,0.2721,0.0171,,,0.1339,,0.2991,,0.2764,0.0014
836,Michael B. Hancock,0.2685,0.0166,,,0.1569,0.0015,0.3198,,0.2338,0.003
837,Michael B. Hancock,0.1609,0.0129,,,0.2897,,0.4013,,0.1202,0.015
838,Michael B. Hancock,0.1782,0.0297,,,0.2921,,0.3861,,0.1089,0.005
839,Michael B. Hancock,0.2508,0,,,0.1473,,0.4765,,0.1223,0.0031
840,Michael B. Hancock,0.2168,0.0029,,,0.1416,,0.4682,,0.1705,0
